"mcmc_case_id","phase178_template_id","case_id","scenario_id","base_scenario_id","dgp_replicate_id","validation_partition","fit_structure","variant_id","candidate_role","design_role","distribution_family","dynamics_class","source_model_id","model_id","display_label","likelihood_family","article_seed","selected_candidate_id","design_fingerprint","posterior_score_mean","posterior_score_median","posterior_score_q025","posterior_score_q975","posterior_regret_mean","posterior_realized_acrps_mean","score_rank_rhat","score_folded_rhat","score_bulk_ess","score_tail_ess","score_mcse_mean","raw_crossing_pairs","contract_crossing_pairs","mean_abs_adjustment_over_sigma","max_abs_adjustment","score_functional_status","raw_crossing_opportunities","raw_crossing_rate","coherence_status"
"laplace_bridge__joint_exqdesn_rhs","laplace_bridge__ridge_079","laplace_bridge__joint_exqdesn_rhs","laplace_bridge","laplace_bridge","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","laplace","ar1_seasonal_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607202,"laplace_bridge__ridge_079","649ae0595b0524633d1c245cabb3ea34a4c2d6ef639690d41aab8a2be4d2871f",0.335035486712926,0.333164081157497,0.32554537063388,0.355699621286057,0.0166701567669798,0.322298059096718,1.01299096813154,1.00305944246153,815.178155591487,2755.65347870066,0.00028099023323628,699018,0,0.00238962382501556,0.389570978417602,"pass",26730000,0.0261510662177329,"review"
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge__ridge_079","laplace_bridge__exqdesn_rhs_independent","laplace_bridge","laplace_bridge","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","laplace","ar1_seasonal_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607202,"laplace_bridge__ridge_079","649ae0595b0524633d1c245cabb3ea34a4c2d6ef639690d41aab8a2be4d2871f",0.336196294417266,0.334853681153544,0.3264912340557,0.354305622630351,0.017830964471319,0.325456998501139,1.00233968364936,1.00053456580716,4268.79919216955,4068.68831868113,0.00011079470576258,3660734,0,0.0286956938165063,0.839922803812842,"pass",26730000,0.136952263374486,"review"
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly__ridge_089","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","article_fixture","article_evaluation","joint","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian_mixture","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL",202607209,"nonlinear_reservoir_friendly__ridge_089","fddb2adbd7b15ea8b90253572e670e12bf77e2a256b624c6b64b03c9bc259a89",0.47886088117155,0.475277087088878,0.448968235592996,0.528424214953702,0.0584943703783137,0.478068692743872,1.04431567914016,1.01641596732955,83.6350147030562,437.688991268293,0.00227220950789332,37872,0,0.000249546001218859,0.508832582706921,"review",17820000,0.00212525252525253,"pass"
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__ridge_089","nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","article_fixture","article_evaluation","independent","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian_mixture","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL",202607209,"nonlinear_reservoir_friendly__ridge_089","fddb2adbd7b15ea8b90253572e670e12bf77e2a256b624c6b64b03c9bc259a89",0.433228356230518,0.432910790775923,0.428032571452898,0.440254597567277,0.012861845437282,0.440045820194268,1.00504553800959,1.00082148332577,2592.93106087963,2707.60206225211,6.00038685765119e-05,695599,0,0.00622954642742656,1.05941177491569,"pass",17820000,0.0390347362514029,"review"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly__ridge_089","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian_mixture","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607209,"nonlinear_reservoir_friendly__ridge_089","fddb2adbd7b15ea8b90253572e670e12bf77e2a256b624c6b64b03c9bc259a89",0.452003355732492,0.448969843756363,0.433706547590291,0.48763022393485,0.0316368449392556,0.453389177932722,1.10125689033303,1.05721297889185,51.9544729507659,176.344918839625,0.00193823493142393,50491,0,6.20824123980374e-05,0.181957631361292,"review",26730000,0.00188892630003741,"pass"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__ridge_089","nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian_mixture","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607209,"nonlinear_reservoir_friendly__ridge_089","fddb2adbd7b15ea8b90253572e670e12bf77e2a256b624c6b64b03c9bc259a89",0.43086961826582,0.43049778687066,0.425935632777717,0.438157924363029,0.0105031074725841,0.437714873291521,1.00727659673533,0.999894826090176,3423.17333223869,4271.4662841429,5.29570698500556e-05,1160882,0,0.0053256568530824,0.670603888627464,"pass",26730000,0.0434299289188178,"review"
"normal_bridge__joint_qdesn_rhs","normal_bridge__ridge_071","normal_bridge__joint_qdesn_rhs","normal_bridge","normal_bridge","article_fixture","article_evaluation","joint","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian","ar1_seasonal_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL",202607201,"normal_bridge__ridge_071","2d384764e8a4a6494c4bf3f1e4f7fd8d559c787e31756daf71916227a61040e7",0.363541204333433,0.359984822945907,0.327471754287262,0.420234008647904,0.0578904360032576,0.363368789376753,1.05741813694024,1.00128054952529,85.1843080888149,921.000927160707,0.00264355971262603,2236227,0,0.0403770597006628,0.840391810388269,"review",17820000,0.125489730639731,"review"
"normal_bridge__qdesn_rhs_independent","normal_bridge__ridge_071","normal_bridge__qdesn_rhs_independent","normal_bridge","normal_bridge","article_fixture","article_evaluation","independent","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian","ar1_seasonal_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL",202607201,"normal_bridge__ridge_071","2d384764e8a4a6494c4bf3f1e4f7fd8d559c787e31756daf71916227a61040e7",0.357587719910941,0.355098928000097,0.326169736770517,0.404590036743093,0.0519369515807653,0.356725090006051,0.99985030062962,0.999355729771233,2993.94053186444,2992.36616152697,0.000370383378275577,4114859,0,0.0648994824696056,1.19954245851993,"pass",17820000,0.230912401795735,"review"
"normal_bridge__joint_exqdesn_rhs","normal_bridge__ridge_071","normal_bridge__joint_exqdesn_rhs","normal_bridge","normal_bridge","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian","ar1_seasonal_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607201,"normal_bridge__ridge_071","2d384764e8a4a6494c4bf3f1e4f7fd8d559c787e31756daf71916227a61040e7",0.347451627649496,0.340721406311521,0.313492737065423,0.418830536823828,0.0418008593193196,0.34789018544154,1.0549643776549,1.00741770162526,153.006983704653,818.499229250157,0.00226042377506178,582543,0,0.00169269483921236,0.242443690291743,"review",26730000,0.0217936026936027,"review"
"normal_bridge__exqdesn_rhs_independent","normal_bridge__ridge_071","normal_bridge__exqdesn_rhs_independent","normal_bridge","normal_bridge","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","gaussian","ar1_seasonal_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607201,"normal_bridge__ridge_071","2d384764e8a4a6494c4bf3f1e4f7fd8d559c787e31756daf71916227a61040e7",0.336240035702047,0.333916290306998,0.316063468406795,0.370608774443166,0.030589267371871,0.336003987765665,1.00209252316029,1.00011450142214,4500,4426.1926137272,0.000212125986989334,4371550,0,0.0345645846732893,0.787568701415001,"pass",26730000,0.163544706322484,"review"
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail__ridge_150","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","article_fixture","article_evaluation","joint","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","student_t","ar1_seasonal_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL",202607207,"persistent_heavy_tail__ridge_150","d5630b0a7162fc688c3ec3bdbf004b14af3bfe6a0aa379a5706af9c13aea2530",0.399259565453065,0.386764136460262,0.36599747750532,0.502790196998008,0.0426607053917476,0.387261770591315,1.01206167062294,1.00128952387112,538.873211233359,1569.16466213349,0.00153929670534133,207227,0,0.00139848662182831,0.599490741085764,"pass",17820000,0.0116289001122334,"review"
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__ridge_150","persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","article_fixture","article_evaluation","independent","AL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","student_t","ar1_seasonal_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL",202607207,"persistent_heavy_tail__ridge_150","d5630b0a7162fc688c3ec3bdbf004b14af3bfe6a0aa379a5706af9c13aea2530",0.37646785316567,0.374623218241642,0.365685834855925,0.398879506461996,0.0198689931043529,0.364583221416604,0.999875134419155,1.00062117028995,2953.85171723526,2990.83792619153,0.000161132671543487,1606713,0,0.0223827880268124,1.83076129192647,"pass",17820000,0.090163468013468,"review"
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail__ridge_150","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","student_t","ar1_seasonal_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607207,"persistent_heavy_tail__ridge_150","d5630b0a7162fc688c3ec3bdbf004b14af3bfe6a0aa379a5706af9c13aea2530",0.389101097163258,0.383580967157401,0.36573924921762,0.445425988908264,0.0325022371019405,0.379285511271974,1.01397952655104,0.999173787004776,1237.70737296019,1682.39599980396,0.000595383974362286,376087,0,0.00103512989731823,0.459699607498914,"pass",26730000,0.0140698466142911,"review"
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__ridge_150","persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","hybrid","student_t","ar1_seasonal_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607207,"persistent_heavy_tail__ridge_150","d5630b0a7162fc688c3ec3bdbf004b14af3bfe6a0aa379a5706af9c13aea2530",0.372821218280646,0.370626179919973,0.362985052557132,0.395090796830185,0.016222358219329,0.360353121733816,1.0045932228913,1.0009512774783,3529.73616537145,4404.05565334089,0.000140995601261756,3131735,0,0.0223253517325779,0.866623631039409,"pass",26730000,0.117161803217359,"review"
"regime_shift__joint_qdesn_rhs","regime_shift__authority_frozen_base_fixture","regime_shift__joint_qdesn_rhs","regime_shift","regime_shift","article_fixture","article_evaluation","joint","AL","refit_on_article_observational_window_for_mcmc_initialization","direct","student_t","regime_shift_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL",202607208,"regime_shift__authority_frozen_base_fixture","9e2e32285cacfbb3c5f4bc66c0ed8a038d7e5482b22abe2464db4dbc95c5ff5e",0.443517423453006,0.440653179436133,0.42689330555077,0.478482134933504,0.0199716810831925,0.459872691683325,1.02053207029647,1.00258585213876,386.718367153951,577.614697657741,0.000694833022352281,182395,0,0.00105356040729256,0.555550567246771,"review",17820000,0.0102354096520763,"review"
"regime_shift__qdesn_rhs_independent","regime_shift__authority_frozen_base_fixture","regime_shift__qdesn_rhs_independent","regime_shift","regime_shift","article_fixture","article_evaluation","independent","AL","refit_on_article_observational_window_for_mcmc_initialization","direct","student_t","regime_shift_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL",202607208,"regime_shift__authority_frozen_base_fixture","9e2e32285cacfbb3c5f4bc66c0ed8a038d7e5482b22abe2464db4dbc95c5ff5e",0.440359343078908,0.437779328811974,0.427687328426914,0.466969576502824,0.016813600709094,0.456928894434435,1.06197722547441,1.00599844593789,55.4627176380194,620.199091482516,0.00141736378665207,564580,0,0.00395394003120395,0.820003964672148,"review",17820000,0.031682379349046,"review"
"regime_shift__joint_exqdesn_rhs","regime_shift__authority_frozen_base_fixture","regime_shift__joint_exqdesn_rhs","regime_shift","regime_shift","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","direct","student_t","regime_shift_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607208,"regime_shift__authority_frozen_base_fixture","9e2e32285cacfbb3c5f4bc66c0ed8a038d7e5482b22abe2464db4dbc95c5ff5e",0.445178334426934,0.442360613849341,0.42793355091249,0.476678952833384,0.0216325920571207,0.461389247129781,1.02552555967747,1.00183924298936,486.80387903072,2076.78776217341,0.000586573831188851,736893,0,0.00315479348495698,0.482824968688163,"pass",26730000,0.0275680134680135,"review"
"regime_shift__exqdesn_rhs_independent","regime_shift__authority_frozen_base_fixture","regime_shift__exqdesn_rhs_independent","regime_shift","regime_shift","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","direct","student_t","regime_shift_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607208,"regime_shift__authority_frozen_base_fixture","9e2e32285cacfbb3c5f4bc66c0ed8a038d7e5482b22abe2464db4dbc95c5ff5e",0.437299846616262,0.434748714778531,0.427051157003059,0.461672606702039,0.0137541042464485,0.454469990955165,1.09010381157003,1.0343456898582,47.2635130934557,450.732451483385,0.00137562562143914,1214968,0,0.0055970419409175,0.704938942745703,"review",26730000,0.0454533482977927,"review"
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale__ridge_128","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","student_t_location_scale","article_fixture","article_evaluation","joint","AL","refit_on_article_observational_window_for_mcmc_initialization","reservoir","student_t","ar1_seasonal_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL",202607204,"student_t_location_scale__ridge_128","5e3e7001a086e04da2d9787a481a8a17d7c2a4b8d243514b7743d0d467629380",0.422345957882621,0.388501638987073,0.345004235267004,0.683750547305529,0.0896915400316303,0.441817768138999,1.04857829835225,1.0166980752479,195.026063915294,519.981899444377,0.00674184110767389,425843,0,0.00299473333817047,0.609659118396077,"review",17820000,0.0238969135802469,"review"
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__ridge_128","student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","student_t_location_scale","article_fixture","article_evaluation","independent","AL","refit_on_article_observational_window_for_mcmc_initialization","reservoir","student_t","ar1_seasonal_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL",202607204,"student_t_location_scale__ridge_128","5e3e7001a086e04da2d9787a481a8a17d7c2a4b8d243514b7743d0d467629380",0.366463382387126,0.363929553838588,0.348144126037864,0.398093949870153,0.0338089645361352,0.390563431217373,1.00044588155161,0.999153294531346,2995.4761241379,2757.87555009284,0.00024957710979561,946248,0,0.0151735321704448,2.06457538467616,"pass",17820000,0.0531003367003367,"review"
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale__ridge_128","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","student_t_location_scale","article_fixture","article_evaluation","joint","exAL","refit_on_article_observational_window_for_mcmc_initialization","reservoir","student_t","ar1_seasonal_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL",202607204,"student_t_location_scale__ridge_128","5e3e7001a086e04da2d9787a481a8a17d7c2a4b8d243514b7743d0d467629380",0.374417102998176,0.36065598504572,0.341343965133716,0.486852850874848,0.0417626851471856,0.398305052751353,1.00083702292249,1.00020658322165,1717.89599455492,2365.70122190325,0.000935480736553133,581187,0,0.00203817446251622,0.497626987380894,"pass",26730000,0.0217428731762065,"review"
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__ridge_128","student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","student_t_location_scale","article_fixture","article_evaluation","independent","exAL","refit_on_article_observational_window_for_mcmc_initialization","reservoir","student_t","ar1_seasonal_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL",202607204,"student_t_location_scale__ridge_128","5e3e7001a086e04da2d9787a481a8a17d7c2a4b8d243514b7743d0d467629380",0.354537830911506,0.352222361747177,0.342302914543821,0.38045266433001,0.0218834130605159,0.381733051421311,1.00156846489949,1.00002171460794,4390.82899503319,4239.97104307626,0.000151749460794459,3564305,0,0.0371290809671962,1.52168145492684,"pass",26730000,0.133344743733633,"review"
